organization_id,sales_order,date_create,status,code,client_id,tvz_id,cost_price,price_b2b_gross,price_b2c_gross,quantity
13,2051016936,2022-06-01T07:01:02.473,0,48747,13183,7233,347.11,469.18,504.36,1
2,2051016937,2022-06-01T07:12:02.541,0,44320,7519,2592,108.55,155.39,167.04,2
13,2051016938,2022-06-01T07:43:02.496,0,54462,1558,7149,401.17,447.12,480.65,2
1,2051016939,2022-06-01T07:53:02.430,0,58963,30244,1232,413.28,496.25,533.46,2
1,2051016940,2022-06-01T07:53:02.744,0,304,5112,372,168.15,198.42,228.47,2
1,2051016941,2022-06-01T08:14:02.351,0,40693,63084,1280,196.73,230.50,247.87,2
5,2051016942,2022-06-01T08:14:02.830,0,66585,19055,3298,352.62,444.17,475.27,3
5,2051016942,2022-06-01T08:14:02.830,0,65446,19055,3298,515.66,598.44,655.24,1
1,2051016943,2022-06-01T08:14:03.232,1,9372,55499,1010,22.17,24.38,32.33,2
1,2051016943,2022-06-01T08:14:03.232,1,4355,55499,1010,40.33,52.38,56.04,3
1,2051016944,2022-06-01T08:47:02.829,0,22483,47079,502,298.37,334.39,357.80,2
5,2051016945,2022-06-01T08:58:02.816,0,21753,20186,3685,203.35,277.69,298.52,1
1,2051016946,2022-06-01T08:58:03.130,0,6980,11497,578,1162.82,1471.69,1582.06,2
1,2051016947,2022-06-01T08:58:03.459,0,65292,6473,564,58.96,74.85,86.22,3
5,2051016948,2022-06-01T09:09:02.467,0,46276,20291,3439,558.84,626.82,674.64,1
5,2051016948,2022-06-01T09:09:02.467,0,55842,20291,3439,356.66,413.04,444.01,2
1,2051016949,2022-06-01T09:19:02.487,0,48192,10002,1413,808.52,877.19,942.99,5
1,2051016950,2022-06-01T09:30:02.641,0,3851,22467,151,175.64,199.50,214.46,1
1,2051016950,2022-06-01T09:30:02.641,0,56027,22467,151,226.32,258.85,276.97,1
1,2051016950,2022-06-01T09:30:02.641,0,19849,22467,151,14.97,18.94,22.63,1
1,2051016950,2022-06-01T09:30:02.641,0,5917,22467,151,67.73,90.23,96.99,1
1,2051016950,2022-06-01T09:30:02.641,0,47617,22467,151,10.78,22.06,23.71,1
1,2051016951,2022-06-01T09:30:03.427,0,44773,3053,373,254.64,304.95,328.70,1
1,2051016952,2022-06-01T09:30:03.847,0,58457,28882,952,138.47,199.50,214.46,1
1,2051016952,2022-06-01T09:30:03.847,0,10230,28882,952,18.53,50.12,53.89,1
